ID,band_e,band_h,T
aed120d3535adc43167d55ab49370e4b,2.25,1.83,0.18112229
112f4af761593f23ddcded728770d212,1.78,2.31,0.166212149
507aa6e9f40492bb80c8f809c220b125,0.93,3.25,0.111009857
1c1982e7814f370c65665b82ba072f20,1.69,2.39,0.345043943
c19b5b4baba12a218f0f181027df60d4,-0.23,3.84,0.228410241
40555f61f2ba9c4ac226b7a59e32d552,0.27,3.8,0.210659204
55dd927d50996c0b5dbea3e3c5a7fd73,-0.24,4.04,0.276508111
fc9c743b9b35aee4c6b847baa549553b,0.32,3.83,0.120678411
733cb7c460feb89a51b0afdf34676c12,1.01,3.58,0.126422255
a7b04a0f319f2fb0e0f2d6b8fd925815,1.33,3.27,0.114448802
802707d07612139b4fca4bcb87903295,1.59,2.97,0.128214644
fc600cf48174b330734acf084744d46b,-0.05,4.04,0.163952024
4574f8e6f58a129a57d37fbdeb074c30,-0.19,4.09,0.13644527
bd2babc715ea114183cf7f6a1f643ec9,-0.31,1.46,0.245185039
35f62f17f06f11e44eb7ea4b63d823c4,1.35,2.79,0.130670192
f823cbc40b77dc343337d002b6ce6e8f,0.96,3.11,0.164826764
65b359dfc649933ae84175eda75fc8bb,-0.97,2.42,0.141195947
8bec186a36b53a5f37c54d41999cc6d4,-0.09,4.12,0.170648473
fda8028303b77b10f98f1a5676e88eef,1.18,2.9,0.193261468
15f7bdb882f4f6b04e9d7a6c070499d7,1.16,3.057,0.124897848
da7ab2655c27a9bb3949a1ddba59e333,-0.569,1.9315,0.888665333
4e6c616a21276b69f4f4e337a6696c87,-0.449,4.214,0.240974624
18b0977ac3521747e967876fbe705c0c,2.593,1.493,0.180730795
a907fa4bfc3c2f8652846d8a02a8e94c,2.811,1.299,0.208639729
51b4097f0abf60ffca7257e3ed3f0265,0.85,3.377,0.077286262
d6b457eab48502df015b42a81f4e85cc,0.832,3.542,0.166096981
18bb7a849e0c56fac85d0e9015273241,0.791,3.39,0.116090136
4b9dc2627f94c41eb3ba1b3e1d1e434b,0.962,3.18,0.114334176
32c68f29f139d3513ebf2cb29c5c09b9,1.704,2.362,0.185446305
241767852661602ca7aa5c2cfd1d0a9e,1.555,2.516,0.228253233
470f6c59f9a6ca305968e79d4e68757d,1.83,2.248,0.098804395
8b54737c56c944c4a49efc5154aec5e0,1.789,2.206,0.09451057
fe75c68d073ae777baf912fa9b65132a,1.109,2.972,0.180730795
2b953c0b133cb5e72d986811c48b469b,1.687,2.394,0.100965054
67c0f55d1bae3bf06a9927aea43fa606,-0.044,4.067,0.210552569
6e562917da4c5cd064c8fd4a8f964db2,-0.049,4.089,0.16766465
c3425003cf19c299f4e4b10eba08fc00,-0.331,4.121,0.28943872
84d5532e210965edb9dae211e487f231,-0.216,4.026,0.225552121
